"Id";"Identificador";"Empaquetado";"Cantidad";"Identificación";"Suministrador y ref";
1;"SW1";"RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm";1;"Rotary_Encoder_Switch";;;
2;"C1";"C_0805_2012Metric";1;"100nF";;;
3;"C2,C3";"C_0805_2012Metric";2;"10nF";;;
4;"J1";"JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal";1;"CONN_01X04";;;
